City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Hithadhoo,-0.6,73.0833,82.71,75,100,16.24,MV,2021-05-29 03:12:06
115,Faanui,-16.4833,-151.75,80.33,70,23,1.1,PF,2021-05-29 03:24:21
116,Puerto Ayora,-0.7393,-90.3518,74.55,90,65,5.99,EC,2021-05-29 03:16:20
117,Calabozo,8.9242,-67.4293,77.05,74,63,3.87,VE,2021-05-29 03:24:21
118,Jiexiu,37.0244,111.9125,85.68,18,10,11.68,CN,2021-05-29 03:21:10
119,Constitucion,-35.3333,-72.4167,51.8,76,2,5.41,CL,2021-05-29 03:16:34
120,Kununurra,-15.7667,128.7333,82.38,26,72,9.22,AU,2021-05-29 03:24:21
121,Plouzane,48.3833,-4.6167,57.29,91,100,4.5,FR,2021-05-29 03:24:22
122,San Policarpo,12.1791,125.5072,84.6,74,35,6.29,PH,2021-05-29 03:24:22
123,Bethel,41.3712,-73.414,49.35,92,90,10.36,US,2021-05-29 03:16:34
124,Vila Velha,-20.3297,-40.2925,75.94,84,75,4.0,BR,2021-05-29 03:15:45
125,Thompson,55.7435,-97.8558,57.36,38,90,6.91,CA,2021-05-29 03:17:22
126,Axim,4.8699,-2.2405,79.57,88,55,6.06,GH,2021-05-29 03:24:22
127,Narsaq,60.9167,-46.05,44.82,79,9,6.82,GL,2021-05-29 03:16:31
128,Kitgum,3.2783,32.8867,64.63,93,17,3.24,UG,2021-05-29 03:24:22
129,Buala,-8.145,159.5921,79.29,88,100,6.22,SB,2021-05-29 03:17:42
130,Bull Savanna,17.8868,-77.5902,75.49,82,16,3.27,JM,2021-05-29 03:24:23
131,Kudat,6.8837,116.8477,87.73,70,40,4.61,MY,2021-05-29 03:24:23
132,Zharkent,44.1628,80.0,71.53,49,100,2.84,KZ,2021-05-29 03:24:23
133,Tambacounda,13.7539,-13.7586,87.85,33,5,7.7,SN,2021-05-29 03:24:23
134,Tutoia,-2.7619,-42.2744,77.36,87,83,5.7,BR,2021-05-29 03:24:23
135,Zverinogolovskoye,54.4586,64.8542,67.93,38,0,9.24,RU,2021-05-29 03:24:24
136,Alyangula,-13.8483,136.4192,82.27,61,75,11.18,AU,2021-05-29 03:17:11
137,Guataqui,4.5157,-74.7894,73.26,91,83,4.81,CO,2021-05-29 03:24:24
138,Linxia,35.6003,103.2064,72.09,34,100,3.02,CN,2021-05-29 03:24:24
139,Soto La Marina,23.7667,-98.2167,80.78,85,49,11.79,MX,2021-05-29 03:24:24
140,Namibe,-15.1961,12.1522,73.17,60,0,3.83,AO,2021-05-29 03:17:07
141,Coihueco,-36.6167,-71.8333,47.14,100,40,1.43,CL,2021-05-29 03:24:25
142,Kuandian,40.7286,124.7847,63.48,61,73,5.91,CN,2021-05-29 03:24:25
143,Tura,25.5198,90.2201,81.36,75,26,5.03,IN,2021-05-29 03:24:25
144,Ginir,7.1333,40.7,53.2,91,5,4.07,ET,2021-05-29 03:17:50
145,Tilichiki,60.4667,166.1,44.08,66,85,5.53,RU,2021-05-29 03:24:25
146,Bambous Virieux,-20.3428,57.7575,74.21,88,75,8.86,MU,2021-05-29 03:16:31
