City_ID,City,Country,Lat,Lng,Date,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
174,Saint-Joseph,RE,-21.3667,55.6167,2021-11-15 19:19:24,73.78,81,30,5.06,scattered clouds
175,Katsuura,JP,35.1333,140.3,2021-11-15 19:11:35,58.19,71,32,5.26,scattered clouds
176,San Patricio,US,28.017,-97.5169,2021-11-15 19:19:24,86.09,43,0,12.3,clear sky
177,Kenai,US,60.5544,-151.2583,2021-11-15 19:19:25,-3.91,84,1,5.75,clear sky
178,Ilek,RU,51.5271,53.3831,2021-11-15 19:19:25,16.12,87,20,10.25,few clouds
179,Beringovskiy,RU,63.05,179.3167,2021-11-15 19:19:25,28.42,86,100,14.0,overcast clouds
180,Miedzychod,PL,52.5988,15.897,2021-11-15 19:19:25,42.67,93,1,8.25,clear sky
181,Hualmay,PE,-11.0964,-77.6139,2021-11-15 19:19:26,68.85,72,21,9.78,few clouds
182,Nevers,FR,46.9167,3.3333,2021-11-15 19:19:26,45.19,89,100,4.92,overcast clouds
183,San Quintin,MX,30.4833,-115.95,2021-11-15 19:13:02,77.5,35,0,8.5,clear sky
184,Tonj,SS,7.2737,28.6822,2021-11-15 19:19:27,79.3,41,23,0.69,few clouds
185,Marsh Harbour,BS,26.5412,-77.0636,2021-11-15 19:19:27,75.07,59,100,13.98,overcast clouds
186,Ossora,RU,59.2353,163.0719,2021-11-15 19:19:28,28.51,97,100,3.65,light snow
187,Shaunavon,CA,49.6501,-108.4181,2021-11-15 19:19:28,44.38,75,100,14.94,overcast clouds
188,Rocha,UY,-34.4833,-54.3333,2021-11-15 19:12:36,75.2,79,35,10.04,scattered clouds
189,Grand Gaube,MU,-20.0064,57.6608,2021-11-15 19:19:28,75.6,76,51,3.0,broken clouds
190,Ca Mau,VN,9.1769,105.15,2021-11-15 19:19:28,74.61,98,100,5.77,overcast clouds
191,Gunjur,GM,13.2019,-16.7339,2021-11-15 19:19:29,82.47,74,0,5.75,clear sky
192,Nikel,RU,69.4128,30.222,2021-11-15 19:19:29,32.18,90,100,10.0,overcast clouds
193,Charters Towers,AU,-20.1,146.2667,2021-11-15 19:19:29,74.32,78,5,5.44,clear sky
194,Pontal Do Parana,BR,-25.6533,-48.5128,2021-11-15 19:19:30,83.73,72,22,10.4,few clouds
195,Shelburne,CA,44.0787,-80.2041,2021-11-15 19:16:20,39.09,77,69,13.31,broken clouds
196,Tessalit,ML,20.1986,1.0114,2021-11-15 19:19:30,79.43,21,82,4.12,broken clouds
197,San Cristobal,VE,7.7669,-72.225,2021-11-15 19:19:30,77.18,50,54,4.34,broken clouds
198,Perni,GR,41.0011,24.6356,2021-11-15 19:19:30,54.77,71,20,10.36,few clouds
199,Berlevag,NO,70.8578,29.0864,2021-11-15 19:13:08,39.2,87,20,18.41,few clouds
200,Kandrian,PG,-6.2167,149.55,2021-11-15 19:19:31,77.25,88,100,3.74,overcast clouds
201,Sibolga,ID,1.7427,98.7792,2021-11-15 19:19:31,75.88,87,86,3.27,overcast clouds
202,Rio Gallegos,AR,-51.6226,-69.2181,2021-11-15 19:19:32,55.45,21,75,23.02,broken clouds
203,Buraydah,SA,26.326,43.975,2021-11-15 19:19:32,70.25,26,86,14.03,overcast clouds
204,Verkhnyaya Inta,RU,65.9811,60.3094,2021-11-15 19:19:33,18.21,93,100,14.52,light snow
205,Joao Pinheiro,BR,-17.7425,-46.1725,2021-11-15 19:19:33,76.44,59,93,6.51,overcast clouds
206,Lardos,GR,36.0942,28.0157,2021-11-15 19:19:33,64.22,66,20,5.82,few clouds
207,Yar-Sale,RU,66.8333,70.8333,2021-11-15 19:19:34,3.31,88,86,8.16,overcast clouds
208,Erenhot,CN,43.6475,111.9767,2021-11-15 19:19:34,22.3,81,4,6.24,clear sky
209,Ponta Do Sol,PT,32.6667,-17.1,2021-11-15 19:13:19,69.01,70,100,4.45,overcast clouds
210,Prado,BR,-17.3411,-39.2208,2021-11-15 19:19:34,75.16,67,84,12.03,broken clouds
211,Isangel,VU,-19.55,169.2667,2021-11-15 19:19:35,73.51,88,10,3.44,clear sky
212,Tiksi,RU,71.6872,128.8694,2021-11-15 19:19:35,-13.36,97,96,7.09,overcast clouds
213,Bowen,AU,-20.0167,148.2333,2021-11-15 19:19:35,76.37,79,33,9.66,scattered clouds
214,Tadine,NC,-21.55,167.8833,2021-11-15 19:19:36,76.55,75,10,10.13,clear sky
215,Celestun,MX,20.8667,-90.4,2021-11-15 19:19:36,79.56,56,0,14.74,clear sky
216,Georgetown,MY,5.4112,100.3354,2021-11-15 19:10:37,81.9,88,20,0.0,few clouds
217,Mazarron,ES,37.5992,-1.3149,2021-11-15 19:19:36,58.71,64,1,3.6,clear sky
218,Stara Synyava,UA,49.6032,27.6191,2021-11-15 19:19:37,36.18,75,5,8.99,clear sky
219,Saint-Pierre,RE,-21.3393,55.4781,2021-11-15 19:19:37,74.88,73,0,5.75,clear sky
220,East London,ZA,-33.0153,27.9116,2021-11-15 19:11:12,69.98,84,100,14.7,overcast clouds
221,Alofi,NU,-19.0595,-169.9187,2021-11-15 19:11:03,76.89,69,20,3.44,few clouds
222,La Rioja,ES,42.25,-2.5,2021-11-15 19:19:38,44.49,84,100,7.58,overcast clouds
223,Bandarbeyla,SO,9.4942,50.8122,2021-11-15 19:19:38,78.51,69,99,10.92,overcast clouds
224,Nikolskoye,RU,59.7035,30.7861,2021-11-15 19:10:56,31.87,69,88,9.4,overcast clouds
225,Te Anau,NZ,-45.4167,167.7167,2021-11-15 19:19:38,44.6,92,89,10.0,overcast clouds
226,Saskylakh,RU,71.9167,114.0833,2021-11-15 19:10:38,-27.36,100,25,5.17,scattered clouds
227,Libreville,GA,0.3925,9.4537,2021-11-15 19:19:39,82.42,78,40,8.05,scattered clouds
228,Boda,CF,4.3189,17.4695,2021-11-15 19:19:39,72.1,94,100,4.21,light rain
229,Meulaboh,ID,4.1363,96.1285,2021-11-15 19:19:39,76.57,89,100,3.36,overcast clouds
230,Isawa,JP,35.65,138.6333,2021-11-15 19:19:40,48.2,75,0,2.04,clear sky
231,Bakchar,RU,57.0186,82.0711,2021-11-15 19:19:40,3.34,97,96,3.94,overcast clouds
232,Coihaique,CL,-45.5752,-72.0662,2021-11-15 19:10:38,57.81,41,40,10.36,scattered clouds
233,Puerto Leguizamo,CO,-0.1934,-74.7819,2021-11-15 19:12:25,85.3,65,100,2.71,overcast clouds
234,Rio Muerto,MX,27.4167,-110.2333,2021-11-15 19:19:40,93.72,11,0,10.16,clear sky
235,Kindia,GN,10.0569,-12.8658,2021-11-15 19:19:41,74.32,66,60,2.42,broken clouds
236,Codrington,AU,-38.2667,141.9667,2021-11-15 19:12:37,49.82,65,97,7.92,overcast clouds
237,Port Lincoln,AU,-34.7333,135.8667,2021-11-15 19:19:41,54.91,65,93,5.44,overcast clouds
238,Khatanga,RU,71.9667,102.5,2021-11-15 19:10:39,-29.7,100,78,5.46,broken clouds
239,New Norfolk,AU,-42.7826,147.0587,2021-11-15 19:11:04,44.1,69,73,1.99,broken clouds
240,Sakaiminato,JP,35.55,133.2333,2021-11-15 19:19:42,48.18,93,75,4.61,broken clouds
241,Vardo,NO,70.3705,31.1107,2021-11-15 19:19:42,37.15,93,75,13.8,broken clouds
242,Yerbogachen,RU,61.2767,108.0108,2021-11-15 19:13:32,17.22,96,100,2.84,light snow
243,Nome,US,64.5011,-165.4064,2021-11-15 19:11:00,-2.13,78,1,5.75,clear sky
244,Iqaluit,CA,63.7506,-68.5145,2021-11-15 19:12:28,2.7,77,0,10.0,clear sky
245,Najran,SA,17.4924,44.1277,2021-11-15 19:19:43,63.25,35,0,0.4,clear sky
246,Kavaratti,IN,10.5669,72.642,2021-11-15 19:10:56,80.53,81,100,16.13,overcast clouds
247,Port Hawkesbury,CA,45.6169,-61.3485,2021-11-15 19:19:43,50.18,98,90,8.99,mist
248,Narvik,NO,68.4384,17.4272,2021-11-15 19:19:43,42.58,100,100,6.6,overcast clouds
249,Evensk,RU,61.95,159.2333,2021-11-15 19:13:11,24.22,83,96,14.85,overcast clouds
250,Havre-Saint-Pierre,CA,50.2334,-63.5986,2021-11-15 19:10:45,35.96,93,90,10.36,overcast clouds
251,Tasiilaq,GL,65.6145,-37.6368,2021-11-15 19:11:02,32.16,66,93,10.42,overcast clouds
252,Balclutha,NZ,-46.2339,169.75,2021-11-15 19:19:44,46.58,96,95,4.41,overcast clouds
253,Merauke,ID,-8.4667,140.3333,2021-11-15 19:19:44,77.22,91,100,8.08,overcast clouds
254,Esperance,AU,-33.8667,121.9,2021-11-15 19:10:34,67.17,45,100,17.6,overcast clouds
255,Sola,VU,-13.8833,167.55,2021-11-15 19:12:16,80.13,79,37,11.88,scattered clouds
256,Riyadh,SA,24.6877,46.7219,2021-11-15 19:10:05,68.14,27,7,9.04,clear sky
257,Little Current,CA,45.9793,-81.9248,2021-11-15 19:16:20,41.09,59,100,10.63,overcast clouds
258,Moose Factory,CA,51.2585,-80.6094,2021-11-15 19:19:44,32.0,86,90,14.97,light snow
